record_id,subject_id,session_id,timestamp_ms,delta_band_power,theta_band_power,alpha_band_power,beta_band_power,gamma_band_power,signal_noise_ratio,eye_blink_artifact,mental_task_type,focus_level_score,cognitive_state
1,39,7,274864,0.68,5.517,0.8,7.176,0.898,23.21,No,Visual Stimulus,98.03,Distracted
2,29,7,319752,4.929,5.41,2.006,7.585,2.512,23.51,No,Resting,55.46,Distracted
3,15,4,107449,2.226,4.096,1.895,2.908,0.605,32.9,Yes,Cognitive Load,93.82,Relaxed
4,43,3,102828,1.185,4.197,2.411,8.819,0.108,38.89,No,Visual Stimulus,81.34,Distracted
5,8,8,126613,3.5,0.529,2.787,4.868,3.733,6.94,No,Cognitive Load,66.6,Relaxed
6,21,5,72095,1.779,5.917,3.2,2.497,2.264,25.71,No,Motor Imagery,34.94,Distracted
7,39,10,477910,3.136,5.328,3.654,8.721,3.715,28.84,No,Motor Imagery,30.43,Distracted
8,19,7,87593,3.14,5.423,1.241,4.469,1.402,39.5,No,Cognitive Load,64.34,Relaxed
9,23,4,339386,2.506,4.126,0.818,7.628,1.378,37.99,No,Visual Stimulus,43.26,Fatigued
10,11,4,126202,4.263,2.396,5.555,5.706,1.663,29.94,No,Visual Stimulus,79.88,Focused
11,11,8,77606,1.692,5.415,4.53,4.128,2.854,23.26,No,Motor Imagery,76.05,Distracted
12,24,8,123769,2.519,2.103,3.831,8.194,2.307,10.65,No,Visual Stimulus,31.21,Fatigued
13,36,2,118542,2.92,3.595,5.258,6.052,3.709,18.45,No,Visual Stimulus,70.27,Relaxed
14,40,2,368582,3.486,1.049,6.708,4.21,0.199,25.48,No,Motor Imagery,49.46,Distracted
15,24,3,575610,4.028,5.571,3.708,1.541,2.862,30.38,No,Resting,32.33,Relaxed
16,3,3,157550,2.277,1.274,5.308,9.007,1.388,27.24,No,Motor Imagery,41.3,Relaxed
17,22,1,595330,3.407,1.737,7.652,0.837,0.803,29.99,No,Cognitive Load,89.54,Relaxed
18,2,3,570706,1.178,3.57,6.797,8.7,2.091,20.02,Yes,Resting,35.95,Fatigued
19,24,6,455433,4.697,4.703,3.695,3.92,2.07,30.47,Yes,Cognitive Load,28.74,Relaxed
20,44,8,90140,2.224,3.906,5.335,6.574,0.634,10.03,Yes,Resting,35.18,Focused
21,30,10,466978,3.783,1.777,1.828,9.261,0.887,10.69,Yes,Resting,21.46,Distracted
22,38,6,536069,0.592,0.505,4.704,1.941,1.692,10.7,No,Motor Imagery,54.46,Distracted
23,2,5,398731,1.423,4.664,7.86,5.886,1.694,36.18,No,Motor Imagery,14.74,Focused
24,21,4,379502,2.692,5.919,4.387,7.762,1.338,7.66,No,Cognitive Load,81.74,Distracted
25,33,3,298277,4.452,4.955,7.457,7.697,0.679,33.05,No,Motor Imagery,22.56,Focused
26,12,4,97628,2.873,3.031,3.555,5.494,0.117,13.17,No,Resting,59.81,Fatigued
27,22,7,85058,4.684,5.471,7.991,6.435,3.884,21.4,No,Motor Imagery,12.5,Relaxed
28,44,1,481799,2.677,2.754,4.844,7.697,3.78,37.06,No,Cognitive Load,97.85,Fatigued
29,25,7,151542,2.707,3.387,0.817,8.49,1.986,25.51,No,Resting,45.46,Focused
30,49,1,305273,1.039,3.124,4.901,7.737,3.981,12.35,Yes,Cognitive Load,82.22,Relaxed
31,27,2,270675,4.112,2.962,2.559,3.863,2.727,14.94,No,Visual Stimulus,76.86,Fatigued
32,42,4,299182,1.611,4.764,0.744,9.969,0.369,37.22,No,Motor Imagery,71.37,Relaxed
33,28,1,350083,4.548,3.397,6.656,4.628,0.559,19.95,No,Resting,82.74,Relaxed
34,16,9,42674,4.599,2.242,2.568,0.732,3.673,25.54,Yes,Cognitive Load,10.05,Fatigued
35,15,6,127572,4.745,1.92,6.474,3.945,2.557,21.1,Yes,Motor Imagery,67.85,Distracted
36,47,1,475692,2.841,0.708,2.662,1.714,3.388,18.25,No,Motor Imagery,26.58,Focused
37,44,1,291975,3.547,3.708,1.957,1.654,3.603,12.81,No,Cognitive Load,78.59,Fatigued
38,3,6,581462,4.003,1.765,7.805,3.175,1.847,29.02,No,Resting,95.69,Fatigued
39,37,4,431436,1.09,1.315,3.212,1.007,0.289,30.14,No,Cognitive Load,90.15,Distracted
40,7,4,445935,3.204,4.096,5.01,7.041,0.834,14.62,No,Motor Imagery,11.5,Focused
41,21,6,53051,0.654,4.247,5.075,1.203,0.36,32.62,No,Cognitive Load,36.96,Fatigued
42,9,7,203085,2.739,4.637,4.704,2.431,0.836,34.91,No,Visual Stimulus,36.43,Relaxed
43,39,9,318796,1.197,3.27,7.36,1.383,1.701,37.22,No,Motor Imagery,12.23,Focused
44,18,10,65524,1.323,5.417,5.558,1.1,0.561,10.64,No,Resting,9.81,Distracted
45,4,5,476152,2.143,5.65,3.528,3.044,0.75,15.64,No,Visual Stimulus,38.49,Fatigued
46,25,9,268614,2.446,4.941,6.968,5.933,1.839,35.11,Yes,Cognitive Load,99.21,Relaxed
47,14,4,460814,3.304,3.996,1.858,9.665,1.427,11.95,No,Resting,56.89,Focused
48,50,10,517733,0.835,2.17,4.582,8.818,1.924,5.12,No,Visual Stimulus,62.18,Fatigued
49,9,2,315617,2.767,5.906,7.629,8.821,1.774,35.48,No,Cognitive Load,47.1,Focused
50,26,3,44439,1.322,2.008,5.19,2.173,2.613,16.43,No,Visual Stimulus,66.23,Relaxed
51,2,1,276452,3.083,1.615,6.627,3.017,3.755,19.51,No,Motor Imagery,95.67,Relaxed
52,20,6,91563,3.368,2.932,5.402,1.226,0.521,20.62,No,Resting,58.87,Focused
53,28,6,297225,3.005,0.813,6.795,7.895,0.487,34.69,No,Visual Stimulus,6.5,Relaxed
54,47,1,443599,3.822,5.882,7.584,1.163,3.426,16.83,No,Motor Imagery,49.29,Relaxed
55,7,3,534125,2.01,3.736,2.547,5.789,2.075,36.23,No,Cognitive Load,99.28,Focused
56,44,5,167896,3.943,3.563,1.772,2.855,3.089,26.59,No,Motor Imagery,38.74,Focused
57,8,3,419515,2.447,4.107,4.13,2.813,0.94,23.46,No,Cognitive Load,59.39,Distracted
58,47,10,30063,2.679,3.234,5.764,9.912,3.333,16.4,No,Resting,10.66,Fatigued
59,35,3,593741,3.416,0.676,2.204,7.689,3.703,13.53,No,Motor Imagery,14.12,Distracted
